web-scraper-order,web-scraper-start-url,name,place,min,pref,res,about
1712035634-12,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Product Manager, Data Analytics","Hyderabad, Telangana, India","8 years of experience in a product management.
Experience building enterprise Software-as-a-Service (SaaS) products.

Experience shipping AI/ Gen AI based products or services.","Experience with data analytics/Business Intelligence (BI) platforms.

Ability to get the data you need, turn it into an insightful story, and know how to use this data to make decisions.
Ability to be technically proficient and collaborate with engineers in developing the technical architecture of the products you have built.
Ability to deliver products working across various functions and partners.","Build a deep understanding of our most demanding enterprise customers' requirements for data analytics and business intelligence.

Define the strategy and prioritize the product roadmap, working with engineering, sales, support, and other cross-functional teams.

Define, measure, and improve key metrics for the product that translate the success and growth of our enterprise customer base (e.g., satisfaction, adoption).

Execute the full lifecycle of shipping new features and other total product initiatives, from requirements through to optimizing for landing and achieving our success metrics.

Drive adoption and awareness, both through your individual activities and at scale by enabling our Field Sales and Marketing teams.","At Google, we put our users first. The world is always changing, so we need Product Managers who are continuously adapting and excited to work on products that affect millions of people every day. 

In this role, you will work cross-functionally to guide products from conception to launch by connecting the technical and business worlds. You can break down complex problems into steps that drive product development.

One of the many reasons Google consistently brings innovative, world-changing products to market is because of the collaborative work we do in Product Management. Our team works closely with creative engineers, designers, marketers, etc. to help design and develop technologies that improve access to the world's information.  We're responsible for guiding products throughout the execution cycle, focusing specifically on analyzing, positioning, packaging, promoting, and tailoring our solutions to our users."
1712035634-13,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Head of Private Platforms, Privacy Sandbox","Mountain View, CA, USA","Bachelor's degree or equivalent practical experience.
12 years of experience in a client-facing role with web or mobile infrastructure providers, integrators and service providers, sites or apps, online privacy, or trust and safety industries.

Experience with web and mobile platform technologies, product strategy and business models.

Experience as a people manager.","MBA or JD.

Experience working with product teams to launch technical partner integrations and manage collaborative partner relationships.

Experience escalating and presenting key issues and recommendations to executive leadership.

Ability to synthesize complex technical concepts for both technical and non-technical audiences.

Ability to thrive in fast-paced, collaborative, and ambiguous start-up like environments where thoughtfulness, an entrepreneurial mindset, persistent execution, and relationships drive success.

Ability to grasp complex technical and product concepts.","Lead a team of product specialists serving as manager and coach for Chrome and Android anti-covert tracking initiatives such as IP address privacy, as well as early-stage feedback and testing programs for new technologies to support privacy-forward web and mobile capabilities such as fraud detection, identity and payment flows.

Develop a deep understanding of how industry use cases are accomplished today, and how companies can incorporate the Privacy Sandbox technologies for a privacy-forward approach.

Join and lead external engagements to help companies build integration plans, addressing questions and capturing feedback.

Equip the global Partnerships team to support a larger set of stakeholders who are interested in using the Privacy Sandbox technologies or providing feedback.

Support major announcements and milestones in the Privacy Sandbox roadmap by coordinating with cross-functional teams and developing external resources.","The Privacy Sandbox partnerships team works with web and mobile ad tech companies, platforms, publishers, marketers, infrastructure providers, anti-fraud services and other integrators to accelerate participation in the Privacy Sandbox initiative, which aims to introduce new privacy-forward technologies and mitigate cross-site and cross-app user tracking."
1712035634-14,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Director, Data Center Network Delivery","Sunnyvale, CA, USA","Bachelor's degree in Electrical Engineering, Computer Engineering or Computer Science or equivalent practical experience.

15 years of engineering or operations leadership and management experience in the data center, networking, or telecom environments.

10 years of program management experience, including process optimization, program management and cross-functional influence at leadership level.","Master’s degree or MBA. 

Experience with supply chain and operations processes, particularly in identifying and driving on-going process improvement, and leveraging software support to increase efficiency.

Experience directing a distributed global program management team, with the ability to bring together a shared outlook for a team.

Ability to do technical analyses into design specifications of Google's network.","Manage internal customer and partner relationships through deep technical understanding of network and data center delivery.

Provide Project Management Organization (PMO) leadership for large, complex, cross-functional program teams, inspiring teams to challenge norms, create scaled solutions and increase the software maturity of all lines of business across the organization.

Optimize network delivery through partnerships with data center and network planning, design and engineering, construction, supply chain, operations, and supporting software teams.

Hire, build, and retain an engaged, inclusive team that transforms the data center network and capacity delivery space.","The Global Network Delivery team is responsible for deploying that network reliably and at scale. As a leader in this team, you will have a direct impact on the delivery, scalability and availability of this network infrastructure and associated tooling and operations to keep our systems running smoothly. You will be at the hub of multiple technical teams responsible for unparalleled network expansion. Google's complex network generates a constant stream of challenges which require you to continually be innovative with an evolving set of technologies. You will also ensure that network deployments are safe and efficient by monitoring performance, coordinating complex projects, and responding to capacity scaling issues. Keeping the network growing ensures that Google can meet our customers’ growing needs, including for innovative new technologies like Gemini."
1712035634-15,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Go-To-Market Scale Lead, Data Analytics","London, UK","Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.

Candidates will typically have 10 years of experience with Cloud technologies.","Typically 10 years of experience in Go-To-Market (GTM) strategy planning and execution, business development or technical solutions within the security and cloud domains.

Typically 3 years of experience in eCommerce with marketing automation platforms and CRM systems.

Experience with data analytics, machine learning, and AI.

Experience with business development in the technology sector.","Develop and execute comprehensive stakeholder management plans, create strong relationships with internal and external stakeholders.
Conduct regular interlocks with Field teams, supporting teams, product engineering, and partners to ensure alignment.
Establish a consistent business rhythm through top-down and bottom-up engagement with the Field teams.
Act as a regional spokesperson and point of contact for stakeholders.
Monitor the business pipelines, identify top opportunities, communicate activities, and report results.","The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners."
1712035634-16,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Senior Hardware Engineer, IC Design, Quantum AI","Goleta, CA, USA","Bachelor's degree in Physics, Computer Science, Electrical Engineering, a related field, or equivalent practical experience.
Experience with Python or other programming languages.

Experience with Electromagnetic simulations and Finite Element Simulation tools (e.g., Sonnet, HFSS, Comsol).","Master's degree or PhD in Physics, Computer Science, or Electrical Engineering.
Experience with programmatic CAD layout and verification tools.

Knowledge of LvL, LvS,  K-Layout or equivalent CAD viewer.

Familiarity with IC fabrication techniques and processes.

Familiarity with Superconducting circuit architectures and quantum computing.","Support Quantum processor design projects including device layout and simulations.

Work on programmatic layout and simulation infrastructures to speed up and simplify layout workflow from initial layout to final tapeout.

Work closely with other teams to maintain and improve layout integration tools into device probing, packaging and measurement.

Work with foundries to support custom process design kits (PDKs) and design rule check.","Our computational challenges are so big, complex and unique we can't just purchase off-the-shelf hardware, we've got to make it ourselves. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most powerful computing infrastructure. You develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users."
1712035634-17,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"System Coexistence Validation Engineer, Pixel","New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor's degree in Electrical Engineering or equivalent practical experience.

3 years of experience with consumer product hardware testing, system debugging/troubleshooting, or system validation.

2 years of experience in developing test scripts in Python.

Experience with system coexistence related testing.","Master's degree in Electrical Engineering, a related technical field, or equivalent practical experience.

Experience with programming and scripting languages (e.g., Python, C/C++, and Java).

Experience with Linux and Android platforms.
Experience building relationships that promote collaboration among cross-functional teams and CM/JDM.

Knowledge of consumer electronics or mobile devices.","Own and drive the system coexistence Engineering Requirements Specification (ERS) through collaboration with cross-functional teams.

Own and drive the system coexistence testing plan and methodology that cover all aspects of the Pixel product subsystems.

Own and execute the System Coexistence validation that covers across technology development, New Technology Introduction, and New Product Introduction.

Analyze test data and identify potential System Coexistence issues.

Develop new test infrastructure and instruments for factory testing, lab validation, software, and code Python scripts for internal tools and test stations.","Our computational challenges are so big, complex and unique we can't just purchase off-the-shelf hardware, we've got to make it ourselves. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most powerful computing infrastructure. You develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users. 

With your technical expertise, you lead projects in multiple areas of expertise (i.e., engineering domains or systems) within a data center facility, including construction and equipment installation/troubleshooting/debugging with vendors."
1712035634-18,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Enterprise Field Sales Representative, Retail","Chicago, IL, USA","Bachelor's degree or equivalent practical experience. 

13 years of experience in sales in the technology industry with SaaS, PaaS or IaaS products and platforms.

Experience engaging with accounts, promotine a portfolio of products at executive-level.","Experience with large, complex commercial and legal discussions working with Procurement, Legal, and Business teams.

Experience promoting Google Cloud computing technologies to large and complex organizations across geographies. 

Ability to collaborate effectively across organizational boundaries, build relationships, and import and export talent and ideas to achieve a broader organizational goal. 

Ability to influence decisions at the executive-level.

Ability to present analyses and break down technical concepts into simple terms to present to diverse, technical, and non-technical audiences.","Build and strengthen executive relationships with enterprise customers, and bring to Google your mature Chief Experience Officer relationships to help us grow into new organizations. Influence long-term strategic direction, and serve as a business partner.
Discuss and manage entire complex business cycles, often presenting to C-level executives in corporate and global customers.
Lead account strategy in generating and developing business growth opportunities, work collaboratively with Customer Engineers and Google partners, all to increase business results in territory and open up opportunities with large enterprise customers.
Understand each customer's technology footprint, strategic growth plans and business drivers, technology strategy, and competitive landscape.
Drive business development, forecast accurately, and achieve strategic goals by leading customers through the entire business cycle.","The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners."
1712035634-19,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,Silicon Product Development Engineer,"Tel Aviv, Israel","Bachelor's degree in Electrical Engineering, Computer Engineering, Computer Science, a related field, or equivalent practical experience.

Candidates will typically have 5 years of experience with industry-standard tools, languages and methodologies relevant to the development of silicon-based ICs and chips.

Experience in developing or integrating ATE hardware/software test methods for functional IP’s like DDR, PCIe, or Telemetry.

Experience in pre-silicon verification, test content generation/integration, and post-silicon enabling.

Experience in Python, Java, or C/C++.","Master's degree or PhD in Electrical Engineering, Computer Engineering, Computer Science, or a related field.

Experience with CPU/GPU SoC architecture, design, validation, and debug.

Experience in hardware description languages and RTL debug.

Familiarity with Synopsys, Cadence, or Mentor verification platforms.

Ability to venture into and improve, all aspects of post-silicon testing from definition to realization.","Collaborate with Design, Architecture, Process Technology, and Silicon Engineering teams to develop new product bring-up, verification, characterization, qualification strategies, and manufacturing test solutions for new High Performance Computing (HPC) products in advanced manufacturing technologies.

Verify test solutions on pre-silicon models (i.e., simulation or emulation).

Develop and validate test programs on Automated Test Equipment (ATE) platforms in preparation for High Volume Manufacturing, working with ATE Vendor and internal cross-functional teams.

Support product sustain, including volume data analytics, test time, and yield improvements. Assess test escapees and Return Merchandise Authorization (RMA), localize failures, implement containment measures in the manufacturing test flow, and partner with manufacturing, quality and reliability teams to implement root cause corrective actions.","Our computational challenges are so big, complex and unique we can't just purchase off-the-shelf hardware, we've got to make it ourselves. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most powerful computing infrastructure. You develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users."
1712035634-20,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Solution Design Manager, Workforce Solutions","London, UK","Bachelor's degree or equivalent practical experience.
Candidates will typically have 5 years of experience in program or project management

Typically 5 years of experience managing cross-functional or cross-team projects.

Experience working as a subject matter expert in the areas of extended workforce, contract/vendor management, cost management, operating model design, and associated practices across the extended workforce/contingent labor landscape.","Experience developing business strategies or managing cross-functional initiatives.

Excellent leadership skills, with the ability to drive impact in a fast-paced environment.

Passion for helping advocate for Google's customers and improving the overall customer experience.

Track record of thought leadership in strategic projects that have had a tangible impact on business operations across international markets.","Serve as a thought partner and trusted advisor to the extended workforce solutions organization’s executive leadership, helping to land, rethink, and shape the future of extended workforce solutions.

Help design solutions that enable our partners/product areas to succeed in their business objectives by optimizing operational costs, identify efficiencies, and help to proactively mitigate risk and compliance across Alphabet.

Work with cross-functional stakeholders and leaders to gather data and conduct business analyses with effective project communication and management.

Identify and engage product area stakeholders proactively on extended workforce solutions and gain their buy-in to utilize the services being designed.","A problem isn’t truly solved until it’s solved for all. That’s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Program Manager at Google, you’ll lead complex, multi-disciplinary projects from start to finish — working with stakeholders to plan requirements, manage project schedules, identify risks, and communicate clearly with cross-functional partners across the company. Your projects will often span offices, time zones, and hemispheres. It's your job to coordinate the players and keep them up to date on progress and deadlines.

Our goal is to build a Google that looks like the world around us — and we want Googlers to stay and grow when they join us. As part of our efforts to build a Google for everyone, we build diversity, equity, and inclusion into our work and we aim to cultivate a sense of belonging throughout the company."
1712035634-21,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"CPU Design Manager, Google Cloud","Bangalore, Karnataka, India","Bachelor’s degree in Electrical Engineering, Computer Science, or equivalent practical experience.

20 years of experience in logic/RTL design.

Experience with modern processor microarchitecture and related technologies/algorithms, microarchitecture definition and RTL design.

Experience with modern high-frequency CPU design implementation results, front-end design, low power Implementations, power analysis tools for CPU, and ARM Instruction Set Architecture.","Master’s degree or PhD in Electrical Engineering or Computer Science.

Experience leading a team for part of a processor front-end design, for ARM based modern processors.","Lead a team of engineers in the Bangalore Core IP design organization working on IP Design and Integration.

Develop CPU front-end designs, emphasizing on microarchitecture and RTL design for the next generation CPU.

Propose performance enhancing microarchitecture features, and work with Architects and Performance teams for trade-off studies. Communicate the pros and cons of microarchitecture enhancements.

Deliver designs meeting PPA goals with production quality. Become familiar with modern techniques, interpret the techniques into design constructs, and languages in order to provide guidance to and participate in the performance modeling effort.

Work with the Functional Verification team to ensure production of quality designs, and the physical design team to meet frequency, power, and area goals.","Our computational challenges are so big, complex and unique we can't just purchase off-the-shelf hardware, we've got to make it ourselves. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most powerful computing infrastructure. You develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users."
